단속일시,단속원금,단속동,단속장소,위반내용,견인지시
2022-01-01 18:53:00,40000,구의동,리젠트오피스텔건너편,주차금지(황색점선)구역,미견인
2022-01-01 19:29:00,40000,자양동,서울 광진구 자양동 74-26,도로 모퉁이,미견인
2022-01-01 19:41:00,40000,화양동,서울 광진구 화양동 17-70,교통소통장애,미견인
2022-01-01 19:55:00,40000,구의동,지너스타워 주차장 앞,교차로,미견인
2022-01-01 19:58:00,40000,화양동,서울 광진구 화양동 46-22,교통소통장애,미견인
2022-01-01 20:00:00,40000,중곡동,서울 광진구 중곡동 316-1,도로 모퉁이,미견인
2022-01-01 20:03:00,40000,화양동,서울특별시 광진구 동일로24길 28,교통소통장애,미견인
2022-01-01 20:55:00,40000,구의동,서울특별시 광진구 자양로32길 20,보도,미견인
2022-01-01 21:11:00,40000,자양동,서울 광진구 자양동 12-10,교통소통장애,미견인
2022-01-01 21:11:00,40000,구의동,강변역 4번 출구,주차금지(황색점선)구역,미견인
2022-01-01 21:15:00,40000,자양동,서울 광진구 자양동 858,교통소통장애,미견인
2022-01-01 21:26:00,40000,자양동,서울 광진구 자양동 64-8,도로 모퉁이,미견인
2022-01-01 22:00:00,40000,자양동,853,교차로,미견인
2022-01-01 22:14:00,40000,중곡동,서울특별시 광진구 천호대로 595,보도,미견인
2022-01-01 22:17:00,40000,중곡동,서울특별시 광진구 천호대로 593,보도,미견인
2022-01-01 23:33:00,40000,화양동,서울특별시 광진구 아차산로 241,교통소통장애,미견인
2022-01-01 23:33:00,40000,화양동,서울특별시 광진구 아차산로 241,교통소통장애,미견인
2022-01-01 23:36:00,40000,중곡동,서울 광진구 중곡동 150-103,버스정류소,미견인
2022-01-01 23:37:00,40000,중곡동,서울 광진구 중곡동 150-103,교통소통장애,미견인
2022-01-01 23:49:00,40000,중곡동,서울특별시 광진구 면목로 173,교통소통장애,미견인
2022-01-02 00:34:00,40000,광장동,서울 광진구 광장동 484,버스정류소,미견인
2022-01-02 00:43:00,40000,광장동,서울 광진구 광장동 486-1,소화전,미견인
2022-01-02 00:47:00,40000,광장동,서울 광진구 광장동 486-1,교통소통장애,미견인
2022-01-02 00:48:00,40000,광장동,서울 광진구 광장동 486-1,교통소통장애,미견인
2022-01-02 07:10:00,40000,구의동,지너스타워 주차장 앞,주정차금지(황색실선)구역,미견인
2022-01-02 07:24:00,40000,중곡동,서울 광진구 중곡동 199-1,보도,미견인
2022-01-02 07:30:00,40000,화양동,건대입구 1번 출구 앞,주정차금지(황색실선)구역,미견인
2022-01-02 07:44:00,40000,구의동,지너스타워 주차장 앞,주정차금지(황색실선)구역,미견인
2022-01-02 08:09:00,40000,자양동,건대역약국 앞,주차금지(황색점선)구역,미견인
2022-01-02 08:23:00,40000,화양동,건대입구 1번 출구 앞,안전지대,미견인
2022-01-02 08:47:00,40000,구의동,리젠트오피스텔건너편,안전지대,미견인
2022-01-02 11:05:00,40000,자양동,600-15,횡단보도,미견인
2022-01-02 11:12:00,40000,구의동,서울 광진구 구의동 147-47,교통소통장애,미견인
2022-01-02 11:13:00,40000,구의동,서울 광진구 구의동 147-47,교통소통장애,미견인
2022-01-02 11:17:00,40000,광장동,서울 광진구 광장동 381-50,안전지대,미견인
2022-01-02 11:18:00,40000,광장동,서울 광진구 광장동 381-49,교통소통장애,미견인
2022-01-02 11:19:00,40000,광장동,서울 광진구 광장동 381-49,안전지대,미견인
2022-01-02 11:25:00,40000,군자동,서울 광진구 군자동 27-8,교통소통장애,미견인
2022-01-02 11:25:00,40000,구의동,서울특별시 광진구 자양로53길 14,교통소통장애,미견인
2022-01-02 11:28:00,50000,구의동,서울 광진구 구의동 29-20,교통소통장애,미견인
2022-01-02 11:36:00,40000,화양동,서울 광진구 화양동 527 주차장막음,교통소통장애,견인처리
2022-01-02 11:42:00,40000,화양동,건대입구 3번 출구 앞,주차금지(황색점선)구역,미견인
