연번,사업장명,소재지지번주소,소재지도로명주소,데이터기준일자
192,빌라드샬롯카페 인천공항T1 1F,"인천광역시 중구 공항로 272, 인천공항 제1여객터미널1층 FB-P3-05호 (운서동)",인천광역시 중구 운서동 2840 인천공항 제1여객터미널1층 FB-P3-05호,2022-08-12
193,엔제리너스 인천공항T1 1F,"인천광역시 중구 공항로 272, 인천공항 제1여객터미널1층 3-16-08호 (운서동)",인천광역시 중구 운서동 2840 인천공항 제1여객터미널1층 3-16-08호 ,2022-08-12
194,에이오커피,"인천광역시 중구 흰바위로92번길 5-18, 102,103호 (운서동)","인천광역시 중구 운서동 3112-9 102, 103호 ",2022-08-12
195,카페 청혜윰,"인천광역시 중구 공항로 271, 인천국제공항 제1여객터미널 일반동 L/S 1층 FB-P3-10호 (운서동)",인천광역시 중구 운서동 2851 인천국제공항 제1여객터미널 일반동 ,2022-08-12
196,"지금,이곳.","인천광역시 중구 운남로82번길 40, 1층 (운남동)",인천광역시 중구 운남동 324-9 ,2022-08-12
197,바나나커피,"인천광역시 중구 마시란로 116, 1,2층 (덕교동)","인천광역시 중구 덕교동 662-5 1,2층 ",2022-08-12
198,메가커피 영종하늘달빛점,"인천광역시 중구 하늘달빛로 88, 채운 에비뉴 1층 106호 (중산동)",인천광역시 중구 중산동 1875-5 채운 에비뉴 106호,2022-08-12
199,메가엠지씨커피월미도점,"인천광역시 중구 월미로234번길 12, 1층 (북성동1가)","인천광역시 중구 북성동1가 98-10 1층 102,103호",2022-08-12
200,꿀스커피,"인천광역시 중구 영종대로196번길 19, 지엘플렉스 115호 (운서동)",인천광역시 중구 운서동 3098-1 ,2022-08-12
201,"카페,소피","인천광역시 중구 인중로 46, 1층 (신흥동3가)",인천광역시 중구 신흥동3가 14-5 1층 ,2022-08-12
202,이디야 영종센트럴타워점,"인천광역시 중구 영종대로196번길 15-10, 센트럴타워 105,107,108호 (운서동)","인천광역시 중구 운서동 3098-2 센트럴타워 105, 107, 108호 ",2022-08-12
203,카페플러스마트,"인천광역시 중구 자유무역로 299, 제이셋스태츠칩팩코리아 1층 (운서동)",인천광역시 중구 운서동 2091-104 제이셋스태츠칩팩코리아 ,2022-08-12
204,메가엠지씨커피신포점,"인천광역시 중구 개항로 29-2, 1~2층 (내동)",인천광역시 중구 내동 216 파크랜드 1~2층 ,2022-08-12
205,카페일리터 하늘도시점,"인천광역시 중구 하늘달빛로64번길 4, JK프라자 1층 110호 (중산동)",인천광역시 중구 중산동 1873-23 JK프라자 1층 110호 ,2022-08-12
206,공차 영종하늘도시점,"인천광역시 중구 하늘별빛로 75, 1층 110,111호 (중산동)","인천광역시 중구 중산동 1882-10 1층 110,111호 ",2022-08-12
207,싸이프러스1,"인천광역시 중구 제물량로130번길 18, 지하1층 (답동)",인천광역시 중구 답동 11-17 ,2022-08-12
208,싸이프러스2,"인천광역시 중구 제물량로130번길 18, 1층 (답동)",인천광역시 중구 답동 11-17 ,2022-08-12
209,우주라이크앤 영종하늘도시점,"인천광역시 중구 하늘중앙로225번길 12, 정인타워 1층 108호 (중산동)",인천광역시 중구 중산동 1876-1 정인타워 1층 108호 ,2022-08-12
210,투썸플레이스 인천영종운서점,"인천광역시 중구 햇내로28번길 10, 더예스클라우드 A동 105,106,202,203호 (운서동)","인천광역시 중구 운서동 3092-3 더예스클라우드 A동 105,106,202,203호 ",2022-08-12
211,카페 드 셀린,"인천광역시 중구 두미포로 89, 1층 일부 (중산동)",인천광역시 중구 중산동 1904-1 1층 일부 ,2022-08-12
212,해피브릭,"인천광역시 중구 하늘달빛로 88, 채운 에비뉴 5층 502호 일부 (중산동)",인천광역시 중구 중산동 1875-5 채운 에비뉴 5층 502호 일부 ,2022-08-12
213,cafe AMii (카페 아미),"인천광역시 중구 운중로 181-6, A동 1층 (중산동)",인천광역시 중구 중산동 1331-1 A동 1층 ,2022-08-12
214,서리화,"인천광역시 중구 백운로186번길 86, 나동 1층 2호 (운북동)",인천광역시 중구 운북동 1261-17 나동 2호,2022-08-12
215,아마스빈 동인천점,"인천광역시 중구 자유공원로 3-2, 1층 (인현동)",인천광역시 중구 인현동 20-5 ,2022-08-12
216,페어리(Fairy)카페,"인천광역시 중구 선녀바위로55번길 34, 1층 일부 (을왕동)",인천광역시 중구 을왕동 687 1층 일부 ,2022-08-12
217,메가엠지씨커피 영종구읍뱃터점,"인천광역시 중구 은하수로 10, 1층 105,106호 (중산동)","인천광역시 중구 중산동 1949-1 1층 105,106호 ",2022-08-12
218,정석,"인천광역시 중구 연안부두로 59-1, 1층 (항동7가)",인천광역시 중구 항동7가 87-2 ,2022-08-12
219,카페모스,"인천광역시 중구 개항로53번길 22, 1층 (내동)",인천광역시 중구 내동 177 ,2022-08-12
220,카페슬로우,"인천광역시 중구 대무의로301번길 13-31, 나동 1층 (무의동)",인천광역시 중구 무의동 180-26 ,2022-08-12
221,고은매점,"인천광역시 중구 연안부두로21번길 11-12, 1층 (항동7가)",인천광역시 중구 항동7가 27-215 ,2022-08-12
222,메가엠지씨커피 인천연안부두점,"인천광역시 중구 연안부두로33번길 37, 인천종합어시장 1층 101,113호 (항동7가)",인천광역시 중구 항동7가 27-69 인천종합어시장 ,2022-08-12
223,다운타운 선셋,"인천광역시 중구 마시란로 63, 1,2,3,4층 (덕교동)","인천광역시 중구 덕교동 134-13 1,2,3,4층 ",2022-08-12
224,커피베이 인천동화마을점,"인천광역시 중구 차이나타운로 7, 1,2층 (송월동3가)",인천광역시 중구 송월동3가 11-140 ,2022-08-12
225,"카페,오숑","인천광역시 중구 제물량로 137-1, 1층 (답동)",인천광역시 중구 답동 17-5 ,2022-08-12
226,카페 메이벨(cafe maybell),"인천광역시 중구 화랑목로100번길 54, 1층 102호 (운서동)",인천광역시 중구 운서동 3039-8 1층 102호,2022-08-12
227,행복나눔터 4호점,"인천광역시 중구 자유공원로 12, 인천학생교육문화회관 1층 (인현동)",인천광역시 중구 인현동 5 인천학생교육문화회관 ,2022-08-12
228,카페 티크,"인천광역시 중구 영종대로 173, 리치아노 골드 지하층 B101호 (운서동)",인천광역시 중구 운서동 3050-2 리치아노 골드 지하 B101호,2022-08-12
229,윌마 커피 로스터스,"인천광역시 중구 참외전로 107, 2,3층 (인현동)",인천광역시 중구 인현동 1-273 1-274 ,2022-08-12
230,메가엠지씨커피 영종넙디점,"인천광역시 중구 운서2로68번길 33, 1층 일부 (운서동)",인천광역시 중구 운서동 2901-3 1층 일부 ,2022-08-12
231,망원동 티라미수,"인천광역시 중구 자연대로 47, 대지스타타워2 1층 110호 (중산동)",인천광역시 중구 중산동 1873-3 1층 110호,2022-08-12
232,코월드비전센터,"인천광역시 중구 운서로7번길 41, 1층 일부 (운서동)",인천광역시 중구 운서동 3060-7 1층 일부 ,2022-08-12
233,더벤티 영종하늘도시점,"인천광역시 중구 자연대로 47, 1층 116호 (중산동)",인천광역시 중구 중산동 1873-3 ,2022-08-12
234,참 디저트,"인천광역시 중구 화랑목로 50-7, 1층 103호 (운서동)",인천광역시 중구 운서동 3036-8 ,2022-08-12
235,컴포즈커피 운서역점,"인천광역시 중구 영종대로162번길 26, 삼성홈큐브 1층 112호 (운서동)",인천광역시 중구 운서동 3090-3 삼성홈큐브 112호,2022-08-12
236,"오늘도,카페일리터 운서점","인천광역시 중구 흰바위로 37, 영종프라자 1층 101호 (운서동)",인천광역시 중구 운서동 2793-3 영종프라자 ,2022-08-12
237,카페드쉘,"인천광역시 중구 마시란로 132, 1층, 2층 일부 (덕교동)","인천광역시 중구 덕교동 662-3 1층, 2층 일부 ",2022-08-12
238,명태다방,"인천광역시 중구 화랑목로 98, 1층 일부 (운서동)",인천광역시 중구 운서동 3021-8 1층 일부 ,2022-08-12
239,Cafe 우든필,"인천광역시 중구 인중로 43, 현대자동차 동인천서비스 1층 (신흥동3가)",인천광역시 중구 신흥동3가 34-1 현대자동차 동인천서비스 ,2022-08-12
240,컴포즈 커피 영종하늘도시점,"인천광역시 중구 자연대로 47, 대지스타타워2 1층 104호 (중산동)",인천광역시 중구 중산동 1873-3 대지스타타워2 1층 104호,2022-08-12
241,헤펠레목공방 인천운남점,"인천광역시 중구 운남동로 10, 1층 일부 (운남동)",인천광역시 중구 운남동 317-1 1층 일부 ,2022-08-12
242,아마스빈 영종하늘도시점,"인천광역시 중구 하늘중앙로195번길 24, 광장프라자 1층 107호 (중산동)",인천광역시 중구 중산동 1884-4 1층 107호,2022-08-12
243,flour(플라워),"인천광역시 중구 오작로 6-6, 1층 101호 (중산동)",인천광역시 중구 중산동 1896-7 101호,2022-08-12
244,카페온,"인천광역시 중구 운남동로 44, 1층 101,102호 (운남동)",인천광역시 중구 운남동 347-1 ,2022-08-12
245,티디커피,"인천광역시 중구 은하수로 112, 1층 104호, 2층 202호 (중산동)","인천광역시 중구 중산동 1917-4 1층 104호, 2층 202호 ",2022-08-12
246,I got everything 중구제2청사점,"인천광역시 중구 운남서로 100, 해송관 1층 일부호 (운남동)","인천광역시 중구 운남동 1511 영종동행정복지센터, 영종 제2청사 ",2022-08-12
247,카페인중독 영종도하늘도시점,"인천광역시 중구 하늘별빛로 59, 비젼프라자 1층 111호 (중산동)",인천광역시 중구 중산동 1886-2 비젼프라자 1층 111호,2022-08-12
248,하삼동커피 구읍뱃터점,"인천광역시 중구 은하수로 14, 영종하늘시티 1층 101호 (중산동)",인천광역시 중구 중산동 1948-2 영종하늘시티 1층 101호,2022-08-12
249,이디야(운서까페거리점),"인천광역시 중구 햇내로안길 6, 1층 전체호 (운서동)",인천광역시 중구 운서동 3044-2 ,2022-08-12
250,더리터 영종하늘도시점,"인천광역시 중구 하늘중앙로195번길 14, 이은스퀘어 1층 116-1호 (중산동)",인천광역시 중구 중산동 1884-1 이은스퀘어 ,2022-08-12
251,반달커피 영종도점,"인천광역시 중구 운남동로3번길 17, 1층 103호 (운남동)",인천광역시 중구 운남동 1563-5 1층 103호,2022-08-12
252,컴포즈커피 하늘달빛점,"인천광역시 중구 하늘달빛로 70, 메디피아 1층 106호 (중산동)",인천광역시 중구 중산동 1875-12 외 1필지(1875-13) 메디피아 1층 106호,2022-08-12
253,떡다온더카페,"인천광역시 중구 햇내로안길 14, 1층 일부 (운서동)",인천광역시 중구 운서동 3043-7 1층 일부 ,2022-08-12
254,빽다방 영종운서역점,"인천광역시 중구 신도시남로142번길 6, 메가스타 영종 1동 1층 132호 (운서동)",인천광역시 중구 운서동 2803-1 메가스타 영종 1동 1층 132호,2022-08-12
255,브로슈코 커피컴퍼니,"인천광역시 중구 축항대로69번길 20, 인천국제수산물타운 A동 4층 (항동7가)",인천광역시 중구 항동7가 49-1 ,2022-08-12
256,카페코지 영종점,"인천광역시 중구 하늘별빛로65번길 7-9, 1층 108호 (중산동)",인천광역시 중구 중산동 1886-3 108호,2022-08-12
257,웰디벨롭,"인천광역시 중구 하늘중앙로195번길 21, 에스디메디칼 1층 109호 (중산동)",인천광역시 중구 중산동 1883-10 에스디메디칼 1층 109호 ,2022-08-12
258,프렌치빌,"인천광역시 중구 신포로 27-1, 1,2층 (관동3가)",인천광역시 중구 관동3가 2-5 ,2022-08-12
259,카페 림,"인천광역시 중구 마시란로170번길 45-1, 1층 (덕교동)",인천광역시 중구 덕교동 488-10 1층 ,2022-08-12
260,마시안전통찻집,"인천광역시 중구 마시란로 118, 3층 (덕교동)",인천광역시 중구 덕교동 662-9 3층 ,2022-08-12
261,몬몬이야(monmoniya),"인천광역시 중구 용유서로2번길 12, 1층 (남북동)",인천광역시 중구 남북동 939-5 1층 ,2022-08-12
262,커즈커피(CUZ COFFEE),"인천광역시 중구 화랑목로100번길 59, 1층 102호 (운서동)",인천광역시 중구 운서동 3047-27 ,2022-08-12
263,#51,"인천광역시 중구 마시란로170번길 51, 1층 일부 (덕교동)",인천광역시 중구 덕교동 485-7 1층 일부 ,2022-08-12
264,milkbay(밀크베이),"인천광역시 중구 자연대로 41, 영종스카이스타 1층 105호 (중산동)",인천광역시 중구 중산동 1873-5 영종스카이스타 1층 105호,2022-08-12
265,손토스트 씨사이드파크점,"인천광역시 중구 해맞이길 41, 1층 104호 (운남동)",인천광역시 중구 운남동 1641-23 1층 104호,2022-08-12
266,카페천국 운서점,"인천광역시 중구 햇내로28번길 10, 더예스클라우드 A동 1층 116호 (운서동)",인천광역시 중구 운서동 3092-3 더예스클라우드 A동 116호,2022-08-12
267,S.Cafe 1th(카페1번가),"인천광역시 중구 서해대로449번길 40, 1층 (신흥동1가)",인천광역시 중구 신흥동1가 78 ,2022-08-12
268,BOTTEGA(보테가),"인천광역시 중구 마시란로 51-32, 1,2층 (덕교동)","인천광역시 중구 덕교동 128-60 1,2층 ",2022-08-12
269,카페뮈,"인천광역시 중구 대무의로 26-9, 1,2층 (무의동)","인천광역시 중구 무의동 298-1 1,2층 ",2022-08-12
270,소담카페,"인천광역시 중구 용유서로172번길 28, 4동 1층 (을왕동)",인천광역시 중구 을왕동 256-1 ,2022-08-12
271,컴포즈커피 신포DS점,"인천광역시 중구 개항로 44-2, 1~2층 (내동)",인천광역시 중구 내동 212-1 ,2022-08-12
272,카페뱃터,"인천광역시 중구 은하수로 1, 오션뷰 7층 703~706호 (중산동)",인천광역시 중구 중산동 1956-1 오션뷰 ,2022-08-12
273,화하양자,"인천광역시 중구 참외전로13번길 15-8, 1층 (송월동2가)",인천광역시 중구 송월동2가 2-9 ,2022-08-12
274,커피에반하다 영종중산점,"인천광역시 중구 운중로 138, 1층 104호 (중산동)",인천광역시 중구 중산동 1457-1 1층 104호,2022-08-12
275,도르팍 비건,"인천광역시 중구 백운로 4, 1층 104호 (중산동)",인천광역시 중구 중산동 1013-1 104호 일부 ,2022-08-12
276,NOUAISON(누에종),"인천광역시 중구 영종진광장로 32, 오션 솔레뷰 2층 203,204 일부호 (중산동)",인천광역시 중구 중산동 1947-1 오션 솔레뷰 ,2022-08-12
277,유캔두잇 인천운서점,"인천광역시 중구 흰바위로92번길 6-2, 1층 103호 (운서동)",인천광역시 중구 운서동 3109-2 1층 103호,2022-08-12
278,팔공티 운서점,"인천광역시 중구 신도시남로142번길 6, 메가스타 영종 1동 1층 121호 (운서동)",인천광역시 중구 운서동 2803-1 메가스타 영종 1층 1동 121호,2022-08-12
279,독독 2호점,"인천광역시 중구 공항서로 519, 1동 1층 일부 (남북동)",인천광역시 중구 남북동 800-1 1동 1층 일부 ,2022-08-12
280,텐퍼센트스페셜티커피 영종하늘도시점,"인천광역시 중구 하늘달빛로 84, 1층 104호 (중산동)",인천광역시 중구 중산동 1875-6 1층 104호,2022-08-12
281,브레댄코영종구읍뱃터점,"인천광역시 중구 은하수로 1, 오션뷰 10층 1001~1006호 (중산동)",인천광역시 중구 중산동 1956-1 오션뷰 10층 1001~1006호 ,2022-08-12
282,"Hey,buddy(헤이버디)","인천광역시 중구 홍예문로 82, 1층 (전동)",인천광역시 중구 전동 18-16 ,2022-08-12
283,장스꿀카페,"인천광역시 중구 공항동로296번길 97-49, G2블럭 (주)해우지엘에스  1층 1호 (운서동)",인천광역시 중구 운서동 3165-1 G2블럭 (주)해우지엘에스 1층 1호,2022-08-12
284,폴바셋투고바 파라다이스시티점,"인천광역시 중구 영종해안남로321번길 186, 파라다이스시티 원더박스 2층 (운서동)",인천광역시 중구 운서동 2874 파라다이스시티 원더박스 2층 ,2022-08-12
285,Machon(마숑),"인천광역시 중구 해맞이길 41, 1층 101호 (운남동)",인천광역시 중구 운남동 1641-23 1층 101호,2022-08-12
286,캠프플러스,"인천광역시 중구 마시란로170번길 51-1, 1층 일부, 2층 (덕교동)","인천광역시 중구 덕교동 488-1 1층 일부, 2층 ",2022-08-12
287,마시코코 영종점,"인천광역시 중구 월촌길 32, 1층 104호 일부 (중산동)",인천광역시 중구 중산동 1899-10 1층 104호 일부 ,2022-08-12
288,카페(CAFE) HERO,"인천광역시 중구 왕산로 66, 1층 101호 (을왕동)",인천광역시 중구 을왕동 880-17 1층 101호,2022-08-12
289,디저트39 월미도점,"인천광역시 중구 월미로234번길 6, 2층 204호 (북성동1가)",인천광역시 중구 북성동1가 98-230 204호,2022-08-12
290,파스쿠찌 영종하늘도시점,"인천광역시 중구 하늘별빛로65번길 8-21, 썬앤문3 1,2층 102,103,201호 (중산동)","인천광역시 중구 중산동 1883-2 썬앤문3 1층 102,103호, 2층 201호 ",2022-08-12
291,원유로스페셜티 인천영종도점,"인천광역시 중구 신도시남로141번길 18, 웰스타임 1층 105,106,107호 (운서동)","인천광역시 중구 운서동 2791-1 웰스타임 1층 105,106,107호 ",2022-08-12
292,바소영종점,"인천광역시 중구 월촌길 27, 1층 101호 (중산동)",인천광역시 중구 중산동 1901-4 1층 101호,2022-08-12
293,바위커피,"인천광역시 중구 운중로 162-1, 1층 (중산동)",인천광역시 중구 중산동 901 1층 ,2022-08-12
294,티엔티푸드(주),"인천광역시 중구 공항동로193번길 40-32, 우정사업본부국제우편물류센터 2층 일부 (운서동)",인천광역시 중구 운서동 2842-16 우정사업본부국제우편물류센터 2층 일부 ,2022-08-12
295,영종도 더벤티 더타임점,"인천광역시 중구 영종대로196번길 25, 운서역 더타임 1층 110호 (운서동)",인천광역시 중구 운서동 3098-5 운서역 더타임 1층 110호,2022-08-12
296,엔제리너스 운서점,"인천광역시 중구 신도시남로142번길 6, 메가스타 영종 1동 1층 146,147호 (운서동)","인천광역시 중구 운서동 2803-1 메가스타 영종 146,147호 1동 ",2022-08-12
297,커피볶는남자,"인천광역시 중구 햇내로안길 14-5, 1층 103호 일부 (운서동)",인천광역시 중구 운서동 3043-5 1층 103호 일부 ,2022-08-12
298,Cafe BLOOM YELLOW(블룸옐로우),"인천광역시 중구 제물량로 167, 1층 (사동)",인천광역시 중구 사동 18-24 ,2022-08-12
299,제이씨컴퍼니,"인천광역시 중구 참외전로 188, 1층 3106호 (율목동)",인천광역시 중구 율목동 1-30 ,2022-08-12
300,BON9,"인천광역시 중구 백운로228번길 100, 2동 1층,2층 (운북동)","인천광역시 중구 운북동 132-11 2동 1층,2층 ",2022-08-12
301,와플칸,"인천광역시 중구 신도시남로141번길 18, 웰스타임 1층 108호 (운서동)",인천광역시 중구 운서동 2791-1 웰스타임 1층 108호,2022-08-12
302,노틀담베이커리,"인천광역시 중구 공항동로295번길 41-42, 인천본부세관 특송물류센터 1층 (운서동)",인천광역시 중구 운서동 2842-7 인천본부세관 특송물류센터 1층 ,2022-08-12
303,노틀담베이커리,"인천광역시 중구 공항동로193번길 70, 인천본부세관 수출입통관청사 1층 (운서동)",인천광역시 중구 운서동 2851-20 인천본부세관 수출입통관청사 1층 ,2022-08-12
304,ONYU오뉴,"인천광역시 중구 넙디로 47, 백산빌딩 1층 101,102호 (운서동)","인천광역시 중구 운서동 2903-1 백산빌딩 1층 101,102호 ",2022-08-12
305,모온지,"인천광역시 중구 신도시남로142번길 6, 메가스타 영종 1층 102호 일부 (운서동)",인천광역시 중구 운서동 2803-1 메가스타 영종 1층 102호 일부 ,2022-08-12
306,주식다방(stock cafe),"인천광역시 중구 신포로 26-3, 1,2층 (신포동)",인천광역시 중구 신포동 26-24 ,2022-08-12
307,OWL's(아울스),"인천광역시 중구 용유서로 140-2, 1,2층 (을왕동)","인천광역시 중구 을왕동 186-39 1,2층 ",2022-08-12
308,시아북카페 영종점,"인천광역시 중구 하늘달빛로 94, 대지스타타워 4층 404호 일부 (중산동)",인천광역시 중구 중산동 1875-3 대지스타타워 4층 404호 일부 ,2022-08-12
309,꿈이든더카페,"인천광역시 중구 공항로424번길 86-17, 아이엔지모터스 1층 (운서동)",인천광역시 중구 운서동 2850-9 아이엔지모터스 1층 ,2022-08-12
310,카페송,"인천광역시 중구 참외전로 132, 1,2,3층 (인현동)",인천광역시 중구 인현동 22-4 ,2022-08-12
311,감성커피 신포시장점,"인천광역시 중구 우현로45번길 2, 1,2층 (신포동)",인천광역시 중구 신포동 1-3 ,2022-08-12
312,인천신포시장점 빽다방2,"인천광역시 중구 개항로 28-1, 2층 (신포동)",인천광역시 중구 신포동 63-1 ,2022-08-12
313,컴포즈커피 연안부두점,"인천광역시 중구 축항대로86번길 28, 1층 좌측 상가 1호 (항동7가)",인천광역시 중구 항동7가 27-35 1층 좌측 상가 1호 ,2022-08-12
314,밸런스 로스팅 커피,"인천광역시 중구 우현로 90, 유타워 1층 (인현동)",인천광역시 중구 인현동 22-7 유타워 ,2022-08-12
315,몽콕MONGKOK(주)자이락,"인천광역시 중구 흰바위로92번길 6-10, 지1층 101호 (운서동)",인천광역시 중구 운서동 3109-9 지1층 101호 ,2022-08-12
316,카페 을왕,"인천광역시 중구 용유서로 262-15, JN PARK HOTEL 2층 일부호 (을왕동)",인천광역시 중구 을왕동 694-6 JN PARK HOTEL 2층 일부호 ,2022-08-12
317,플라워 플렉스,"인천광역시 중구 영종대로 173, 리치아노 골드 1층 108호 일부호 (운서동)",인천광역시 중구 운서동 3050-2 리치아노 골드 1층 108호 일부호 ,2022-08-12
318,그린스미스&에그존 운서점,"인천광역시 중구 영종대로196번길 25, 운서역더타임 1층 105호 (운서동)",인천광역시 중구 운서동 3098-5 운서역더타임 1층 105호,2022-08-12
319,슈퍼스타 바람돌이,"인천광역시 중구 하늘별빛로65번길 8-21, 썬앤문3 4층 402호 (중산동)",인천광역시 중구 중산동 1883-2 썬앤문3 4층 402호,2022-08-12
320,렌츠(LENTZ),"인천광역시 중구 영종진광장로 32, 오션 솔레뷰 2층 206호 (중산동)",인천광역시 중구 중산동 1947-1 오션 솔레뷰 2층 206호,2022-08-12
321,노틀담베이커리,"인천광역시 중구 서해대로 339, 인천세관 1층 (항동7가)",인천광역시 중구 항동7가 1-18 인천세관 ,2022-08-12
322,제피렐리,"인천광역시 중구 참외전로 162, 지디엔 1, 2층 (경동)",인천광역시 중구 경동 94-2 지디엔 ,2022-08-12
323,이그니토 커피 컴퍼니,"인천광역시 중구 개항로 107-4, 우진플라텍 2,3,4층 (경동)",인천광역시 중구 경동 90 우진플라텍 ,2022-08-12
324,하늘생명나무,"인천광역시 중구 운중로71번길 20, A동 1층 (운남동)",인천광역시 중구 운남동 526-4 A동 1층 ,2022-08-12
325,뭐 먹지?,"인천광역시 중구 월미로234번길 12, 1층 101호 (북성동1가)",인천광역시 중구 북성동1가 98-10 101호,2022-08-12
326,바다의시간,"인천광역시 중구 은하수로 12, 구읍뱃터관광어시장 5층 502호 (중산동)",인천광역시 중구 중산동 1948-1 구읍뱃터관광어시장 502호,2022-08-12
327,카페엠디디(cafe mdd),"인천광역시 중구 신포로23번길 4, 1층 (중앙동4가)",인천광역시 중구 중앙동4가 1-6 ,2022-08-12
328,발도스커피,"인천광역시 중구 우현로 지하 67, 신포지하도상가 지하 1층 186호 (답동)",인천광역시 중구 답동 24-3 신포지하도상가 ,2022-08-12
329,몬스테라,"인천광역시 중구 자연대로 41, 영종스카이스타 1층 111호 일부 (중산동)",인천광역시 중구 중산동 1873-5 영종스카이스타 1층 111호 일부 ,2022-08-12
330,하이오커피 인천오션솔레뷰점,"인천광역시 중구 영종진광장로 32, 오션 솔레뷰 1층 103호 (중산동)",인천광역시 중구 중산동 1947-1 오션 솔레뷰 1층 103호 ,2022-08-12
331,만정카페,"인천광역시 중구 영종순환로 279-40, 1층 일부 (중산동)",인천광역시 중구 중산동 1850-477 1층 일부 ,2022-08-12
332,컴포즈커피 넙디점,"인천광역시 중구 넙디로 28, 미도빌딩2 1층 102호 (운서동)",인천광역시 중구 운서동 2934-2 미도빌딩2 1층 102호,2022-08-12
333,360도 by flower(360도 바이 플라워),"인천광역시 중구 운서로7번길 19, 프란시스 1동 1층 일부 (운서동)",인천광역시 중구 운서동 3060-22 프란시스 1동 1층 일부 ,2022-08-12
334,시나본 영종점,"인천광역시 중구 자연대로 28, 영종그랑블루 1층 103호 (중산동)",인천광역시 중구 중산동 1886-17 영종그랑블루 1층 103호,2022-08-12
335,그린게이블,"인천광역시 중구 자유공원로 17, 1,2,3층 (인현동)",인천광역시 중구 인현동 17-11 ,2022-08-12
336,향기노리,"인천광역시 중구 자유공원로 29, 1층 (내동)",인천광역시 중구 내동 2-25 ,2022-08-12
337,옛다방,"인천광역시 중구 운남로 195, 1층 101호 (운남동)",인천광역시 중구 운남동 1498-7 1층 101호 ,2022-08-12
338,매머드익스프레스 영종하늘별빛점,"인천광역시 중구 하늘중앙로 193, 조양타워 1층 118호 (중산동)",인천광역시 중구 중산동 1882-1 조양타워 1층 118호 ,2022-08-12
339,컴포즈커피 인천 차이나타운점,"인천광역시 중구 제물량로 270, 1층 (북성동2가)",인천광역시 중구 북성동2가 12-12 1층 ,2022-08-12
340,콤피스,"인천광역시 중구 운중로108번길 6, 1층 (운남동)",인천광역시 중구 운남동 25 1층 ,2022-08-12
341,비다,"인천광역시 중구 자연대로567번길 14-24, 1층 (운북동)",인천광역시 중구 운북동 412 1층 ,2022-08-12
342,모리커피 하늘도시점,"인천광역시 중구 자연대로 28, 영종그랑블루 1층 107호 (중산동)",인천광역시 중구 중산동 1886-17 영종그랑블루 1층 107호 ,2022-08-12
343,이십센치(20cm),"인천광역시 중구 제물량로 257-1, 1층 (선린동)",인천광역시 중구 선린동 49 ,2022-08-12
344,카페유로,"인천광역시 중구 용유서로 501, 1층 (을왕동)",인천광역시 중구 을왕동 861 1층 ,2022-08-12
345,매머드 커피 익스프레스 신포점,"인천광역시 중구 우현로 35-1, 1층 일부 및 2층 (신포동)",인천광역시 중구 신포동 16-8 1층 일부 및 2층 ,2022-08-12
346,온갖책방,"인천광역시 중구 하늘별빛로65번길 7-4, 현대프라자 2층 203호 일부 (중산동)",인천광역시 중구 중산동 1885-1 현대프라자 2층 203호 일부 ,2022-08-12
347,쉬는 목요일,"인천광역시 중구 흰바위로59번길 8, 버터플라이시티 1층 110-2호 (운서동)",인천광역시 중구 운서동 2807-4 버터플라이시티 1층 110-2호 ,2022-08-12
348,유캔두잇 영종하늘도시점,"인천광역시 중구 자연대로 37, 스카이가든 1층 104호 (중산동)",인천광역시 중구 중산동 1873-6 스카이가든 1층 104호 ,2022-08-12
349,원유로 스페셜티 영종도 운남동점,"인천광역시 중구 운남로 156, 순영빌딩 1층 102호 (운남동)",인천광역시 중구 운남동 1523-7 순영빌딩 1층 102호 ,2022-08-12
350,텐퍼센트 스페셜티커피 하늘중앙점,"인천광역시 중구 하늘중앙로 193, 조양타워 1층 113호 (중산동)",인천광역시 중구 중산동 1882-1 조양타워 1층 113호 ,2022-08-12
351,천씨씨 영종하늘도시점,"인천광역시 중구 하늘달빛로 90-27, 동오프라자 1층 129호 (중산동)",인천광역시 중구 중산동 1876-8 동오프라자 1층 129호 ,2022-08-12
352,원유로 스페셜티 영종 하늘도시점,"인천광역시 중구 하늘중앙로 193, 조양타워 1층 106호 (중산동)",인천광역시 중구 중산동 1882-1 조양타워 1층 106호 ,2022-08-12
353,커피마마퀸 영종하늘도시점,"인천광역시 중구 하늘중앙로195번길 11, 더테라스2020 1층 104호 (중산동)",인천광역시 중구 중산동 1883-14 더테라스2020 1층 104호 ,2022-08-12
354,일빙,"인천광역시 중구 운서로7번길 60, 1층 101호 (운서동)",인천광역시 중구 운서동 3065-1 1층 101호,2022-08-12
355,비거뉴어리,"인천광역시 중구 도원서길 64, 1층 (도원동)",인천광역시 중구 도원동 26-18 1층 ,2022-08-12
356,소무의도여행자센터영어조합법인,"인천광역시 중구 떼무리길 15, 소무의도스토리움 1층 일부 (무의동)",인천광역시 중구 무의동 849-8 소무의도스토리움 1층 일부 ,2022-08-12
357,빽다방 영종하늘달빛점,"인천광역시 중구 하늘달빛로 94, 대지스타타워 1층 120호 (중산동)",인천광역시 중구 중산동 1875-3 대지스타타워 1층 120호 ,2022-08-12
