연번,사업장명,소재지지번주소,소재지도로명주소,데이터기준일자
63,셀렉토 커피 인천공항 IBC점,"인천광역시 중구 공항로424번길 60, 107호 (운서동, 대우스카이월드)",인천광역시 중구 운서동 2850-5 대우스카이월드 107호,2022-08-12
64,관동오리진,"인천광역시 중구 신포로27번길 96 (관동1가, 1층)",인천광역시 중구 관동1가 14-3 1층 ,2022-08-12
65,카페 테이블 홍예,"인천광역시 중구 홍예문로 26-1 (송학동3가, 1층)",인천광역시 중구 송학동3가 7-11 1층 ,2022-08-12
66,꿈꾸는뿔인형극카페&갤러리,"인천광역시 중구 자유공원로 129 (송월동3가, 1층2층)","인천광역시 중구 송월동3가 10-6 1,2층 ",2022-08-12
67,도도(빙수&커피),"인천광역시 중구 우현로 92, 1층 (인현동)",인천광역시 중구 인현동 22-39 1층 ,2022-08-12
68,홍루이젠,"인천광역시 중구 참외전로 117-9 (인현동, 1층)",인천광역시 중구 인현동 1-19 1층 ,2022-08-12
69,그리다썸,"인천광역시 중구 용유서로 272, 2층 (을왕동)",인천광역시 중구 을왕동 689-1 2층 ,2022-08-12
70,아미가Ⅱ,"인천광역시 중구 송학로 11-1 (송학동2가, 2층)",인천광역시 중구 송학동2가 1-9 2층 ,2022-08-12
71,도라미상점,"인천광역시 중구 동화마을안길 41 (송월동3가, 1층)",인천광역시 중구 송월동3가 3-157 1층 ,2022-08-12
72,해송전망대카페,"인천광역시 중구 공항서로 177, 3층 (남북동)",인천광역시 중구 남북동 16-33 3층 ,2022-08-12
73,펫38도씨,"인천광역시 중구 운중로 99, 1층 (운남동)",인천광역시 중구 운남동 22-4 1층 ,2022-08-12
74,지하다방,"인천광역시 중구 우현로 지하 69 (인현동, 중앙로지하상가 특5호)",인천광역시 중구 인현동 84-1 중앙로지하상가 특5호 ,2022-08-12
75,커피에 반하다 공항신도시점,"인천광역시 중구 신도시남로141번길 9, 108일부,109호 (운서동, 골든프라자)","인천광역시 중구 운서동 2796-1 골든프라자 108일부,109호 ",2022-08-12
76,32파르페&카페,"인천광역시 중구 우현로49번길 33 (신포동, 1층)",인천광역시 중구 신포동 10-1 1층 ,2022-08-12
77,마시랑 빵카페,"인천광역시 중구 마시란로 163, 1~2층 (덕교동)",인천광역시 중구 덕교동 615-5 ,2022-08-12
78,빽다방동인천역점,"인천광역시 중구 자유공원로 5 (인현동, 1층2층)",인천광역시 중구 인현동 20-1 1층2층 ,2022-08-12
