단속일시,단속원금,단속동,단속장소,위반내용,견인지시
2023-01-02 10:51,32000,중곡동,중곡문화체육센터 앞,주차금지(황색점선)구역,미견인
2023-01-02 11:06,40000,중곡동,중곡문화체육센터 앞,주차금지(황색점선)구역,미견인
2023-01-02 11:08,32000,자양동,서울 광진구 자양동 97-1,도로 모퉁이,미견인
2023-01-02 11:23,40000,구의동,구의동 웰츠타워 앞,교통소통장애,미견인
2023-01-02 11:54,32000,구의동,프라임아파트 정문(213동),주정차금지(황색실선)구역,미견인
2023-01-02 11:56,32000,중곡동,신성슈퍼마켓 앞,주차금지(황색점선)구역,미견인
2023-01-02 12:21,40000,중곡동,고신경정신과의원 앞,주차금지(황색점선)구역,미견인
2023-01-02 12:31,32000,광장동,SK강평주유소 앞,주차금지(황색점선)구역,미견인
2023-01-02 12:43,40000,화양동,서울특별시 광진구 아차산로 219-2,보도,미견인
2023-01-02 13:13,40000,자양동,서울특별시 광진구 뚝섬로34길 25-19,도로 모퉁이,미견인
2023-01-02 13:18,40000,자양동,김밥타운 앞,주차금지(황색점선)구역,미견인
2023-01-02 13:23,40000,구의동,강변역 4번 출구,교통소통장애,미견인
2023-01-02 13:54,40000,자양동,파리바게트 앞,주차금지(황색점선)구역,미견인
2023-01-02 14:05,32000,자양동,738,횡단보도,미견인
2023-01-02 14:24,32000,자양동,서울 광진구 자양동 57-14,교통소통장애,미견인
2023-01-02 14:25,32000,구의동,서울특별시 광진구 영화사로 76,보도,미견인
2023-01-02 14:26,32000,군자동,두산위브 앞,주차금지(황색점선)구역,미견인
2023-01-02 14:42,50000,구의동,서울특별시 광진구 구의로 6,보도,미견인
2023-01-02 14:43,32000,군자동,광진광장,주정차금지(황색실선)구역,미견인
2023-01-02 15:01,40000,자양동,파리바게트 앞,주차금지(황색점선)구역,미견인
2023-01-02 15:04,32000,능동,256-16,보도,미견인
2023-01-02 15:12,96000,구의동,강변 스파랜드 앞,보도,미견인
2023-01-02 15:43,32000,자양동,718-1,교차로,미견인
2023-01-02 15:47,32000,광장동,SK강평주유소 앞,보도,미견인
2023-01-02 15:48,40000,구의동,구의동 웰츠타워 앞,교통소통장애,미견인
2023-01-02 15:59,32000,중곡동,서울 광진구 중곡동 51-12,소화전,견인처리
2023-01-02 16:03,40000,자양동,건대역약국 앞,횡단보도,미견인
2023-01-02 16:08,104000,구의동,구의동 금성빌라 앞,보도,미견인
2023-01-02 16:12,32000,중곡동,신성슈퍼마켓 앞,주차금지(황색점선)구역,미견인
2023-01-02 16:21,32000,광장동,SK강평주유소 앞,주차금지(황색점선)구역,미견인
2023-01-02 16:34,32000,구의동,구의동 웰츠타워 앞,주차금지(황색점선)구역,미견인
2023-01-02 16:38,96000,중곡동,신성그랜드타워 앞,보도,미견인
2023-01-02 16:41,130000,구의동,현대2단지아파트 앞,주정차금지(황색실선)구역,미견인
2023-01-02 16:59,32000,화양동,건대입구 1번 출구 앞,안전지대,미견인
2023-01-02 17:07,32000,중곡동,군자역 1번명품갤러리앞,주정차금지(황색실선)구역,미견인
2023-01-02 17:09,40000,중곡동,서울특별시 광진구 능동로38길 41,횡단보도,견인처리
2023-01-02 17:19,40000,구의동,아차산역 5번출구 앞,주정차금지(황색실선)구역,미견인
2023-01-02 17:25,32000,구의동,지너스타워 주차장 앞,주정차금지(황색실선)구역,미견인
2023-01-02 18:00,32000,화양동,건대입구 1번 출구 앞,안전지대,미견인
2023-01-02 18:02,32000,자양동,740,횡단보도,미견인
2023-01-02 18:03,32000,군자동,서울특별시 광진구 능동로 271-1,보도,미견인
2023-01-02 18:04,10000,능동,어린이대공원 정문,주차금지(황색점선)구역,미견인
2023-01-02 18:14,32000,군자동,서울특별시 광진구 군자로 76,보도,미견인
2023-01-02 18:18,96000,군자동,노인종합복지관 앞,주차금지(황색점선)구역,미견인
2023-01-02 18:46,32000,중곡동,서울특별시 광진구 용마산로 101,보도,미견인
2023-01-02 18:53,40000,자양동,204-1,보도,미견인
2023-01-02 18:53,32000,중곡동,신성슈퍼마켓 앞,주차금지(황색점선)구역,미견인
2023-01-02 18:54,40000,구의동,245-24,보도,미견인
2023-01-02 18:54,96000,구의동,강변 스파랜드 앞,주차금지(황색점선)구역,미견인
2023-01-02 18:56,32000,중곡동,서울특별시 광진구 용마산로 113,보도,미견인
2023-01-02 19:02,32000,중곡동,서울특별시 광진구 용마산로 102,보도,미견인
2023-01-02 19:10,32000,중곡동,서울특별시 광진구 용마산로 98,버스정류소,미견인
2023-01-02 19:14,32000,중곡동,서울특별시 광진구 용마산로 93,보도,미견인
2023-01-02 19:15,40000,구의동,강변역 1번 출구,주정차금지(황색실선)구역,미견인
2023-01-02 19:18,40000,중곡동,서울특별시 광진구 용마산로 91,보도,미견인
2023-01-02 19:24,32000,구의동,국민은행 앞,횡단보도,미견인
2023-01-02 19:28,50000,중곡동,신성슈퍼마켓 앞,주차금지(황색점선)구역,미견인
2023-01-02 19:34,40000,자양동,729-1,횡단보도,미견인
2023-01-02 19:38,40000,중곡동,서울특별시 광진구 긴고랑로 48,버스정류소,미견인
2023-01-02 19:44,32000,중곡동,서울특별시 광진구 긴고랑로 43,버스정류소,미견인
2023-01-02 19:48,40000,중곡동,서울특별시 광진구 긴고랑로 35,보도,미견인
2023-01-02 20:10,32000,중곡동,신성슈퍼마켓 앞,주차금지(황색점선)구역,미견인
2023-01-02 21:28,40000,광장동,484,횡단보도,미견인
