단속일시,단속원금,단속동,단속장소,위반내용,견인지시
2022-03-11 20:06,50000,중곡동,서울특별시 광진구 긴고랑로 48,버스정류소,미견인
2022-03-11 20:09,40000,군자동,서울특별시 광진구 군자로 179-2,교통소통장애,미견인
2022-03-11 20:23,40000,중곡동,서울특별시 광진구 능동로44길 29,교통소통장애,미견인
2022-03-11 20:24,40000,화양동,서울특별시 광진구 동일로26길 58,교통소통장애,미견인
2022-03-11 20:24,40000,화양동,서울특별시 광진구 동일로26길 54,교통소통장애,미견인
2022-03-11 20:39,40000,능동,서울특별시 광진구 능동로 216,교통소통장애,미견인
2022-03-11 20:46,40000,능동,서울특별시 광진구 천호대로114길 18,교통소통장애,미견인
2022-03-11 20:50,50000,자양동,서울 광진구 자양동 236-150,소방차(긴급차량)통행장애,견인처리
2022-03-11 22:10,40000,자양동,서울특별시 광진구 자양로3가길 43,교통소통장애,미견인
2022-03-11 23:06,40000,중곡동,서울 광진구 중곡동 150-288,소화전,미견인
2022-03-11 23:15,40000,구의동,서울 광진구 구의동 669,교통소통장애,미견인
2022-03-12 0:24,40000,구의동,서울 광진구 구의동 238-2,교통소통장애,미견인
2022-03-12 2:11,40000,자양동,서울 광진구 자양동 637-1,교통소통장애,미견인
2022-03-12 2:35,40000,화양동,서울특별시 광진구 동일로26길 37,교통소통장애,미견인
2022-03-12 2:55,20000,중곡동,서울특별시 광진구 용마산로8나길 19,교통소통장애,견인처리
2022-03-12 10:43,40000,중곡동,서울특별시 광진구 영화사로7길 13,교통소통장애,미견인
2022-03-12 11:11,40000,자양동,서울 광진구 자양동 74-26,교통소통장애,견인처리
2022-03-12 11:13,40000,자양동,서울 광진구 자양동 74-26,교통소통장애,미견인
2022-03-12 11:14,40000,자양동,서울특별시 광진구 능동로3길 26,교통소통장애,미견인
2022-03-12 11:19,40000,구의동,서울특별시 광진구 자양로30길 20,교통소통장애,견인처리
2022-03-12 11:20,40000,구의동,서울특별시 광진구 자양로30길 21,교통소통장애,견인처리
2022-03-12 11:21,40000,자양동,서울 광진구 자양동 2-7,도로 모퉁이,미견인
2022-03-12 11:22,40000,자양동,서울 광진구 자양동 2-7,도로 모퉁이,미견인
2022-03-12 11:32,40000,광장동,서울특별시 광진구 아차산로70길 62,버스정류소,미견인
2022-03-12 11:36,40000,자양동,서울특별시 광진구 뚝섬로 671,도로 모퉁이,미견인
2022-03-12 11:37,40000,자양동,서울특별시 광진구 뚝섬로 671,도로 모퉁이,미견인
2022-03-12 11:54,40000,광장동,서울 광진구 광장동 381-16,교통소통장애,미견인
2022-03-12 11:55,40000,광장동,서울 광진구 광장동 381-16,교통소통장애,미견인
2022-03-12 11:55,40000,광장동,서울 광진구 광장동 381-16,교통소통장애,미견인
2022-03-12 11:56,40000,화양동,서울특별시 광진구 능동로 172,교통소통장애,미견인
2022-03-12 11:56,40000,광장동,서울 광진구 광장동 381-16,교통소통장애,미견인
2022-03-12 11:57,40000,광장동,서울 광진구 광장동 381-16,교통소통장애,미견인
2022-03-12 11:57,40000,광장동,서울 광진구 광장동 381-16,교통소통장애,미견인
2022-03-12 11:58,40000,광장동,서울 광진구 광장동 381-16,교통소통장애,미견인
2022-03-12 11:59,40000,광장동,서울 광진구 광장동 381-16,교통소통장애,미견인
2022-03-12 11:59,40000,광장동,서울 광진구 광장동 381-16,교통소통장애,미견인
2022-03-12 12:00,40000,광장동,서울 광진구 광장동 381-16,교통소통장애,미견인
2022-03-12 12:04,40000,광장동,서울 광진구 광장동 5-117,안전지대,미견인
2022-03-12 12:04,40000,광장동,서울 광진구 광장동 5-117,안전지대,미견인
