단속일시,단속원금,단속동,단속장소,위반내용,견인지시
2023-01-04 18:46,32000,중곡동,서울특별시 광진구 능동로 366,보도,미견인
2023-01-04 18:56,40000,중곡동,서울특별시 광진구 긴고랑로20길 3,버스정류소,미견인
2023-01-04 19:06,40000,중곡동,서울특별시 광진구 용마산로 84,보도,미견인
2023-01-04 19:09,32000,중곡동,서울특별시 광진구 용마산로 86,보도,미견인
2023-01-04 19:14,32000,중곡동,서울특별시 광진구 용마산로 97,보도,미견인
2023-01-04 19:16,32000,중곡동,서울특별시 광진구 용마산로 101,보도,미견인
2023-01-04 19:24,40000,광장동,서울 광진구 광장동 535-1,교통소통장애,미견인
2023-01-04 19:24,40000,광장동,서울 광진구 광장동 535-1,교통소통장애,미견인
2023-01-04 19:25,40000,광장동,서울 광진구 광장동 535-1,교통소통장애,미견인
2023-01-04 19:26,32000,중곡동,서울특별시 광진구 긴고랑로 90,횡단보도,미견인
2023-01-04 19:35,40000,중곡동,서울특별시 광진구 긴고랑로 43,버스정류소,미견인
2023-01-04 19:38,32000,중곡동,서울특별시 광진구 긴고랑로 43,버스정류소,미견인
2023-01-04 19:42,40000,중곡동,서울특별시 광진구 면목로12길 3,교통소통장애,미견인
2023-01-04 19:43,32000,중곡동,서울 광진구 중곡동 265-1,교통소통장애,미견인
2023-01-04 19:45,32000,중곡동,서울 광진구 중곡동 264-6,보도,견인처리
2023-01-04 19:47,40000,중곡동,서울특별시 광진구 면목로 113-1,보도,미견인
2023-01-04 19:49,40000,중곡동,서울특별시 광진구 능동로 지하 417,소화전,견인처리
2023-01-04 20:09,40000,구의동,서울특별시 광진구 구의강변로 106,교통소통장애,미견인
2023-01-04 20:42,40000,구의동,서울 광진구 구의동 246-21,교통소통장애,미견인
2023-01-04 20:42,40000,구의동,서울 광진구 구의동 246-21,교통소통장애,미견인
2023-01-04 20:43,32000,구의동,서울 광진구 구의동 252-22,교통소통장애,미견인
2023-01-05 7:15,64000,중곡동,서울 광진구 중곡동 438-3,교통소통장애,미견인
2023-01-05 13:52,32000,중곡동,서울특별시 광진구 능동로 413,보도,미견인
2023-01-05 16:42,40000,구의동,서울특별시 광진구 구의강변로 47,보도,미견인
2023-01-05 16:50,32000,구의동,서울특별시 광진구 구의강변로 102,교통소통장애,미견인
2023-01-05 16:51,40000,구의동,서울 광진구 구의동 199-23,교통소통장애,미견인
2023-01-05 16:51,40000,구의동,서울 광진구 구의동 199-23,교통소통장애,미견인
2023-01-05 18:05,40000,중곡동,서울특별시 광진구 능동로 381,보도,미견인
2023-01-05 19:32,50000,자양동,서울특별시 광진구 능동로 33-17,안전지대,미견인
2023-01-06 6:22,40000,중곡동,서울특별시 광진구 능동로 325-1,보도,미견인
2023-01-06 7:58,32000,광장동,서울 광진구 아차산로78길 90 (광장동),보도,미견인
2023-01-06 8:00,32000,구의동,서울특별시 광진구 아차산로 417,보도,미견인
2023-01-06 8:13,32000,구의동,서울 광진구 구의동 640-2,보도,미견인
2023-01-06 8:18,32000,화양동,서울특별시 광진구 군자로 9,교통소통장애,미견인
