단속일시,단속원금,단속동,단속장소,위반내용,견인지시,경도,위도,행정동코드,행정동명
2023-01-01 3:36,32000,자양동,서울특별시 광진구 자양로 61,보도,미견인,127.0845736,37.5332897,1121582000,자양1동
2023-01-01 3:38,40000,자양동,서울특별시 광진구 자양로 61,보도,미견인,127.0845736,37.5332897,1121582000,자양1동
2023-01-01 9:33,32000,구의동,서울특별시 광진구 아차산로55길 11,횡단보도,미견인,127.0864067,37.5379172,1121585000,구의1동
2023-01-01 10:12,40000,구의동,동서울터미널 ,교통소통장애,미견인,126.9778779,37.5664106,1121587000,구의3동
2023-01-01 10:14,40000,자양동,서울특별시 광진구 자양로13길 98,횡단보도,미견인,127.0798402,37.5326852,1121582000,자양1동
2023-01-01 11:21,40000,중곡동,서울 광진구 중곡동 437-8,교통소통장애,미견인,127.094312,37.5569632,1121577000,중곡4동
2023-01-01 11:21,32000,중곡동,서울 광진구 중곡동 437-8,교통소통장애,미견인,127.094312,37.5569632,1121577000,중곡4동
2023-01-01 11:25,40000,중곡동,서울 광진구 중곡동 437-8,교통소통장애,미견인,127.094312,37.5569632,1121577000,중곡4동
2023-01-01 11:30,32000,자양동,서울특별시 광진구 뚝섬로31길 5,보도,미견인,127.0674892,37.5359673,1121584700,자양4동
2023-01-01 16:17,32000,군자동,서울특별시 광진구 능동로 243-1,보도,미견인,127.0764444,37.5520672,1121573000,군자동
2023-01-01 16:25,40000,구의동,동서울터미널 ,주정차금지(황색실선)구역,미견인,126.9778779,37.5664106,1121587000,구의3동
2023-01-01 19:11,32000,중곡동,서울특별시 광진구 면목로 120,보도,미견인,127.0804959,37.5640557,1121574000,중곡1동
2023-01-01 19:16,32000,중곡동,서울특별시 광진구 긴고랑로 15,버스정류소,미견인,127.0782343,37.5638759,1121574000,중곡1동
2023-01-01 19:22,40000,중곡동,서울특별시 광진구 긴고랑로 11-2,보도,미견인,127.077916,37.5639815,1121574000,중곡1동
2023-01-01 19:29,32000,중곡동,서울특별시 광진구 면목로 112,보도,미견인,127.0801176,37.5635212,1121574000,중곡1동
2023-01-01 19:32,40000,중곡동,서울특별시 광진구 긴고랑로 32,횡단보도,미견인,127.0798076,37.5629601,1121574000,중곡1동
2023-01-01 19:41,32000,구의동,서울특별시 광진구 자양로 275,보도,미견인,127.0910394,37.5505766,1121586000,구의2동
2023-01-01 19:43,32000,중곡동,서울특별시 광진구 능동로 415,버스정류소,미견인,127.08416,37.5661746,1121576000,중곡3동
2023-01-01 19:57,40000,중곡동,서울특별시 광진구 긴고랑로 90,횡단보도,미견인,127.0854192,37.5603997,1121575000,중곡2동
2023-01-01 20:04,40000,중곡동,서울특별시 광진구 용마산로 85,보도,미견인,127.0871514,37.5612871,1121575000,중곡2동
2023-01-01 20:09,40000,중곡동,서울특별시 광진구 용마산로 101,보도,미견인,127.0868855,37.5626727,1121575000,중곡2동
2023-01-01 20:11,40000,중곡동,서울특별시 광진구 용마산로 103,보도,미견인,127.0867921,37.5629062,1121575000,중곡2동
2023-01-01 20:49,40000,구의동,서울특별시 광진구 자양로 324,보도,미견인,127.094166,37.5540607,1121586000,구의2동
2023-01-01 22:47,32000,자양동,서울특별시 광진구 뚝섬로 513,보도,미견인,127.0674246,37.5357054,1121584700,자양4동
2023-01-02 6:31,32000,자양동,서울특별시 광진구 뚝섬로31가길 1,보도,미견인,127.0674346,37.5358136,1121584700,자양4동
2023-01-02 8:29,32000,구의동,서울 광진구 구의동 15-1,교통소통장애,미견인,127.0967518,37.553621,1121586000,구의2동
2023-01-02 8:30,40000,구의동,서울 광진구 구의동 15-1,교통소통장애,미견인,127.0967518,37.553621,1121586000,구의2동
