순번,대장_종류,시군구_명,법정동_명,대지_구분,본번,부번,건물명,주_용도,기타_용도,옥내_기계식_대수,옥외_기계식_대수,옥내_자주식_대수,옥외_자주식_대수,총대수
277,일반건축물,서울특별시 광진구,능동,대지,283,2,,,"공장, 기숙사, 주택",0,0,0,0,0
278,일반건축물,서울특별시 광진구,군자동,대지,373,1,,,기숙사,0,0,0,2,2
279,일반건축물,서울특별시 광진구,군자동,대지,372,2,,,기숙사,0,0,0,2,2
280,일반건축물,서울특별시 광진구,군자동,대지,373,5,,,기숙사,0,0,0,0,0
281,일반건축물,서울특별시 광진구,군자동,대지,373,4,,,기숙사,0,0,0,1,1
282,일반건축물,서울특별시 광진구,군자동,대지,373,3,,,기숙사,0,0,0,1,1
283,일반건축물,서울특별시 광진구,군자동,대지,368,0,,,기숙사,0,0,0,3,3
284,일반건축물,서울특별시 광진구,군자동,대지,372,3,,,기숙사,0,0,0,1,1
285,일반건축물,서울특별시 광진구,군자동,대지,367,2,,,다세대주택,0,0,0,0,0
286,일반건축물,서울특별시 광진구,구의동,대지,206,1,,,기숙사,0,0,0,0,0
287,일반건축물,서울특별시 광진구,광장동,대지,353,0,장로회신대학교,,교육연구시설(기숙사),,,91,129,220
288,일반건축물,서울특별시 광진구,자양동,대지,832,22,,,"주택, 기숙사",0,0,0,0,0
289,일반건축물,서울특별시 광진구,화양동,대지,9,17,,,연립주택,0,0,0,0,0
290,일반건축물,서울특별시 광진구,자양동,대지,16,23,,,"공장, 기숙사, 창고, 화장실",0,0,0,0,0
291,일반건축물,서울특별시 광진구,중곡동,대지,187,35,,,기숙사,0,0,0,2,2
292,일반건축물,서울특별시 광진구,중곡동,대지,20,2,,,근린생활시설 및 기숙사,,,,8,8
293,일반건축물,서울특별시 광진구,중곡동,대지,176,43,,,기숙사,0,0,0,0,0
294,일반건축물,서울특별시 광진구,구의동,대지,612,1,,,기숙사,0,0,10,2,12
295,일반건축물,서울특별시 광진구,중곡동,대지,54,7,,,"주택, 연립주택",0,0,0,0,0
296,일반건축물,서울특별시 광진구,광장동,대지,189,5,,,"근린생활시설, 기숙사, 사무실",0,0,0,0,0
