단속일시,단속원금,단속동,단속장소,위반내용,견인지시,경도,위도,행정동코드,행정동명
2022-01-01 2:29,40000,중곡동,서울특별시 광진구 영화사로5길 19,교통소통장애,미견인,127.0919788,37.5570984,1121577000,중곡4동
2022-01-01 7:02,40000,구의동,서울 광진구 구의동 660-1 주차장앞,교통소통장애,미견인,127.0927055,37.5429035,1121587000,구의3동
2022-01-01 7:29,40000,구의동,서울 광진구 구의동 6-4,횡단보도,견인처리,127.0975349,37.5534377,1121586000,구의2동
2022-01-01 11:41,40000,구의동,서울 광진구 구의동 34-14,교통소통장애,미견인,127.0957713,37.552343,1121586000,구의2동
2022-01-01 11:47,40000,중곡동,서울 광진구 중곡동 437-8,교통소통장애,미견인,127.094312,37.5569632,1121577000,중곡4동
2022-01-01 11:50,40000,광장동,서울 광진구 광장동 381-80,교통소통장애,미견인,127.0992139,37.5521711,1121581000,광장동
2022-01-01 11:51,40000,광장동,서울 광진구 광장동 381-80,교통소통장애,미견인,127.0992139,37.5521711,1121581000,광장동
2022-01-01 11:52,40000,광장동,서울 광진구 광장동 381-80,교통소통장애,미견인,127.0992139,37.5521711,1121581000,광장동
2022-01-01 11:53,40000,광장동,서울 광진구 광장동 381-80,교통소통장애,미견인,127.0992139,37.5521711,1121581000,광장동
2022-01-01 11:54,40000,광장동,서울 광진구 광장동 381-49,교통소통장애,미견인,127.099815,37.5520585,1121581000,광장동
2022-01-01 11:55,40000,광장동,서울 광진구 광장동 381-49,교통소통장애,미견인,127.099815,37.5520585,1121581000,광장동
2022-01-01 11:55,40000,광장동,서울 광진구 광장동 381-49,교통소통장애,미견인,127.099815,37.5520585,1121581000,광장동
2022-01-01 12:08,40000,자양동,서울특별시 광진구 뚝섬로22가길 9,교통소통장애,미견인,127.0618002,37.535778,1121584700,자양4동
2022-01-01 12:40,40000,구의동,서울 광진구 구의동 220-41,교통소통장애,미견인,127.0905001,37.5390751,1121587000,구의3동
2022-01-01 12:41,40000,구의동,서울 광진구 구의동 220-41,교통소통장애,미견인,127.0905001,37.5390751,1121587000,구의3동
2022-01-01 12:43,40000,구의동,서울 광진구 구의동 220-41,교통소통장애,미견인,127.0905001,37.5390751,1121587000,구의3동
2022-01-01 14:40,40000,자양동,서울특별시 광진구 자양번영로 11,도로 모퉁이,견인처리,127.0747055,37.5306898,1121584000,자양3동
2022-01-01 14:47,40000,자양동,서울 광진구 자양동 200,교통소통장애,미견인,127.0618487,37.5355171,1121584700,자양4동
2022-01-01 14:55,40000,자양동,서울 광진구 자양동 8-5,교통소통장애,미견인,127.0671742,37.5403619,1121584700,자양4동
2022-01-01 14:55,40000,자양동,서울특별시 광진구 동일로20길 56,교통소통장애,미견인,127.0665159,37.5405279,1121584700,자양4동
2022-01-01 14:56,40000,자양동,서울특별시 광진구 동일로20길 56,교통소통장애,미견인,127.0665159,37.5405279,1121584700,자양4동
2022-01-01 15:14,40000,구의동," 서울 광진구 천호대로132길 27 (구의동, 현대아트빌라) ",소화전,미견인,127.0892513,37.5496438,1121586000,구의2동
2022-01-01 15:22,40000,구의동,서울특별시 광진구 영화사로 68,보도,미견인,127.0934234,37.5546407,1121586000,구의2동
2022-01-01 15:23,40000,구의동,서울 광진구 구의동 550,도로 모퉁이,미견인,127.0947166,37.5553264,1121586000,구의2동
2022-01-01 15:25,50000,구의동,서울특별시 광진구 영화사로 67,도로 모퉁이,미견인,127.0936252,37.5547954,1121586000,구의2동
2022-01-01 15:26,40000,구의동,서울특별시 광진구 영화사로 67,보도,미견인,127.0936252,37.5547954,1121586000,구의2동
2022-01-01 15:27,40000,중곡동,서울 광진구 중곡동 106-33,도로 모퉁이,미견인,127.0939573,37.5563477,1121577000,중곡4동
2022-01-01 15:28,40000,중곡동,서울특별시 광진구 영화사로9길 52,교통소통장애,미견인,127.093796,37.5565808,1121577000,중곡4동
2022-01-01 15:30,40000,중곡동,서울 광진구 중곡동 437-8,교통소통장애,미견인,127.094312,37.5569632,1121577000,중곡4동
2022-01-01 15:31,40000,중곡동,서울 광진구 중곡동 106-47,교통소통장애,미견인,127.093246,37.5561981,1121577000,중곡4동
2022-01-01 15:36,40000,중곡동,서울 광진구 중곡동 440,교통소통장애,미견인,127.092097,37.5557568,1121577000,중곡4동
2022-01-01 15:37,40000,구의동,서울 광진구 구의동 4-17,교통소통장애,미견인,127.099229,37.5527929,1121586000,구의2동
2022-01-01 15:37,40000,중곡동,서울 광진구 중곡동 107-40,교통소통장애,미견인,127.0923913,37.55575,1121577000,중곡4동
2022-01-01 15:38,40000,광장동,서울 광진구 구의동 4-17,교통소통장애,미견인,127.099229,37.5527929,1121586000,구의2동
2022-01-01 15:38,40000,구의동,서울 광진구 구의동 4-17,교통소통장애,미견인,127.099229,37.5527929,1121586000,구의2동
2022-01-01 15:39,40000,광장동,서울 광진구 광장동 381-48,교통소통장애,미견인,127.100056,37.551781,1121581000,광장동
2022-01-01 15:40,40000,광장동,서울 광진구 광장동 381-48,교통소통장애,미견인,127.100056,37.551781,1121581000,광장동
2022-01-01 15:40,40000,중곡동,서울 광진구 중곡동 100-16,교통소통장애,미견인,127.0920726,37.5568288,1121577000,중곡4동
2022-01-01 15:40,40000,중곡동,서울 광진구 중곡동 437-8,교통소통장애,미견인,127.094312,37.5569632,1121577000,중곡4동
2022-01-01 15:41,40000,광장동,서울 광진구 광장동 381-48,교통소통장애,미견인,127.100056,37.551781,1121581000,광장동
2022-01-01 15:41,40000,광장동,서울 광진구 광장동 381-48,교통소통장애,미견인,127.100056,37.551781,1121581000,광장동
2022-01-01 15:42,40000,광장동,서울 광진구 광장동 381-48,교통소통장애,미견인,127.100056,37.551781,1121581000,광장동
2022-01-01 15:43,40000,광장동,서울 광진구 광장동 381-48,교통소통장애,미견인,127.100056,37.551781,1121581000,광장동
2022-01-01 15:43,40000,광장동,서울 광진구 광장동 381-48,교통소통장애,미견인,127.100056,37.551781,1121581000,광장동
2022-01-01 15:44,40000,광장동,서울 광진구 광장동 381-48,안전지대,미견인,127.100056,37.551781,1121581000,광장동
2022-01-01 15:45,40000,광장동,서울 광진구 광장동 381-48,안전지대,미견인,127.100056,37.551781,1121581000,광장동
2022-01-01 15:46,40000,광장동,서울 광진구 광장동 381-48,안전지대,미견인,127.100056,37.551781,1121581000,광장동
2022-01-01 15:47,40000,광장동,서울 광진구 광장동 381-48,교통소통장애,미견인,127.100056,37.551781,1121581000,광장동
2022-01-01 15:59,40000,구의동,서울 광진구 구의동 95-2,교통소통장애,미견인,127.0907897,37.5515659,1121586000,구의2동
2022-01-01 16:04,40000,중곡동,서울특별시 광진구 답십리로86길 33,교통소통장애,미견인,127.0845033,37.5695742,1121576000,중곡3동
2022-01-01 16:20,40000,광장동,서울 광진구 광장동 394-2,보도,미견인,127.1018378,37.5466586,1121581000,광장동
2022-01-01 16:21,40000,광장동,서울 광진구 광장동 394-2,보도,미견인,127.1018378,37.5466586,1121581000,광장동
2022-01-01 16:56,40000,자양동,서울 광진구 자양동 712-1,교통소통장애,미견인,127.077276,37.534188,1121582000,자양1동
2022-01-01 16:57,40000,자양동,서울 광진구 자양동 712-1,교통소통장애,미견인,127.077276,37.534188,1121582000,자양1동
2022-01-01 17:03,40000,중곡동,서울 광진구 중곡동 100-16,교통소통장애,미견인,127.0920726,37.5568288,1121577000,중곡4동
2022-01-01 19:29,40000,자양동,서울 광진구 자양동 74-26,도로 모퉁이,미견인,127.0662034,37.5329206,1121584700,자양4동
2022-01-01 19:41,40000,화양동,서울 광진구 화양동 17-70,교통소통장애,미견인,127.0696965,37.5459142,1121571000,화양동
2022-01-01 19:58,40000,화양동,서울 광진구 화양동 46-22,교통소통장애,미견인,127.0673104,37.542147,1121571000,화양동
2022-01-01 20:00,40000,중곡동,서울 광진구 중곡동 316-1,도로 모퉁이,미견인,127.0874294,37.5691193,1121577000,중곡4동
